"Name","Id","Memory(MB)","ThreadCount","CPU","StartTime","Path"
"sqlbrowser","3856","1,24","7","0","02.04.2026 11:22:22","C:\Program Files (x86)\Microsoft SQL Server\90\Shared\sqlbrowser.exe"
"sqlceip","3364","58,1","17","8,109375","02.04.2026 11:24:35","C:\Program Files\Microsoft SQL Server\MSSQL17.PO_UMOLCH\MSSQL\Binn\sqlceip.exe"
"sqlceip","4960","30,37","12","2,515625","02.04.2026 11:22:23","C:\Program Files\Microsoft SQL Server\MSSQL13.FA15\MSSQL\Binn\sqlceip.exe"
"sqlservr","1620","423,77","153","45,484375","02.04.2026 11:24:32","C:\Program Files\Microsoft SQL Server\MSSQL17.PO_UMOLCH\MSSQL\Binn\sqlservr.exe"
"sqlservr","4924","203,54","100","567,984375","02.04.2026 11:22:23","C:\Program Files\Microsoft SQL Server\MSSQL13.FA15\MSSQL\Binn\sqlservr.exe"
"sqlwriter","3820","2,45","2","0","02.04.2026 11:22:22","C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe"
"StartMenuExperienceHost","9196","49,18","7","0,984375","02.04.2026 11:30:03","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe"
"svchost","576","20,31","9","3,75","02.04.2026 11:22:19","C:\Windows\system32\svchost.exe"
"svchost","1172","11,42","12","8,171875","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","1224","5,43","4","0,625","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","1340","6,48","34","0,734375","02.04.2026 11:22:20","C:\Windows\System32\svchost.exe"
"svchost","1368","4,3","4","0,09375","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","1476","5,75","1","0,53125","02.04.2026 11:22:20","C:\Windows\System32\svchost.exe"
"svchost","1484","5,47","2","0,09375","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","1560","18,04","10","41,71875","02.04.2026 11:22:20","C:\Windows\System32\svchost.exe"
"svchost","1596","2,83","6","0,03125","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","1604","4,39","4","0,078125","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","1692","7,51","2","13,65625","02.04.2026 11:24:35","C:\Windows\System32\svchost.exe"
"svchost","1748","9,95","5","0,75","02.04.2026 11:22:20","C:\Windows\System32\svchost.exe"
"svchost","1808","5,89","2","0,078125","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","1880","4,97","2","0,171875","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","1952","10,45","7","3,640625","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","1960","4,27","5","2,015625","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","2076","5,92","4","10,8125","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","2084","7,12","4","0,171875","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","2092","1,99","3","0,015625","02.04.2026 11:22:20","C:\Windows\System32\svchost.exe"
"svchost","2168","3,88","4","0,46875","02.04.2026 11:22:20","C:\Windows\System32\svchost.exe"
"svchost","2176","3,68","6","0,25","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","2200","10,36","9","2,9375","02.04.2026 11:29:58","C:\Windows\system32\svchost.exe"
"svchost","2320","6,16","7","1,28125","02.04.2026 11:22:20","C:\Windows\System32\svchost.exe"
"svchost","2344","4,52","5","0,09375","02.04.2026 11:22:21","C:\Windows\System32\svchost.exe"
"svchost","2380","2,45","2","0,28125","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","2432","5,75","11","9,171875","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","2656","5,18","7","0,375","02.04.2026 11:22:21","C:\Windows\system32\svchost.exe"
"svchost","2672","4,45","5","0,484375","02.04.2026 11:22:21","C:\Windows\system32\svchost.exe"
"svchost","2756","2,93","2","0,046875","02.04.2026 11:22:21","C:\Windows\System32\svchost.exe"
"svchost","2984","7,72","11","0,28125","02.04.2026 11:22:21","C:\Windows\System32\svchost.exe"
"svchost","3020","4,19","7","0,71875","02.04.2026 11:22:21","C:\Windows\System32\svchost.exe"
"svchost","3124","5,64","4","0,15625","02.04.2026 11:22:21","C:\Windows\system32\svchost.exe"
"svchost","3172","3,84","2","0,140625","02.04.2026 11:22:21","C:\Windows\System32\svchost.exe"
"svchost","3236","10,98","4","5,421875","02.04.2026 11:22:21","C:\Windows\system32\svchost.exe"
"svchost","3392","27,89","11","58,484375","02.04.2026 11:22:21","C:\Windows\system32\svchost.exe"
"svchost","3468","4,75","3","3,296875","02.04.2026 11:22:22","C:\Windows\system32\svchost.exe"
"svchost","3476","3,78","4","0,046875","02.04.2026 11:22:22","C:\Windows\system32\svchost.exe"
"svchost","3512","4,18","1","0,09375","02.04.2026 11:31:58","C:\Windows\system32\svchost.exe"
"svchost","3684","9,95","5","0,890625","02.04.2026 11:22:22","C:\Windows\system32\svchost.exe"
"svchost","3700","2,25","1","0","02.04.2026 11:22:22","C:\Windows\system32\svchost.exe"
"svchost","3716","18,67","13","8,421875","02.04.2026 11:22:22","C:\Windows\system32\svchost.exe"
"svchost","3724","13,51","6","0,34375","02.04.2026 11:22:22","C:\Windows\system32\svchost.exe"
"svchost","3920","5,21","8","0,109375","02.04.2026 11:24:36","C:\Windows\system32\svchost.exe"
"svchost","4144","4,16","4","0,0625","02.04.2026 11:22:22","C:\Windows\system32\svchost.exe"
"svchost","4184","6,57","11","0,046875","02.04.2026 11:22:23","C:\Windows\System32\svchost.exe"
"svchost","4712","15,46","3","0,546875","02.04.2026 11:29:58","C:\Windows\system32\svchost.exe"
"svchost","5396","17,97","15","2,765625","03.04.2026 0:05:26","C:\Windows\system32\svchost.exe"
"svchost","6272","12,59","15","0,25","02.04.2026 11:22:28","C:\Windows\System32\svchost.exe"
"svchost","6360","4,2","7","0,28125","02.04.2026 11:22:29","C:\Windows\system32\svchost.exe"
"svchost","6620","3,94","5","0,046875","02.04.2026 11:22:32","C:\Windows\System32\svchost.exe"
"svchost","6980","5,64","3","0,125","02.04.2026 11:25:21","C:\Windows\System32\svchost.exe"
"svchost","7100","9,01","7","0,09375","02.04.2026 11:24:30","C:\Windows\system32\svchost.exe"
"svchost","7788","8,48","8","0,359375","02.04.2026 11:25:21","C:\Windows\system32\svchost.exe"
"svchost","8172","2,68","3","0,078125","02.04.2026 11:29:58","C:\Windows\System32\svchost.exe"
"svchost","8824","13,94","12","1,828125","02.04.2026 11:30:00","C:\Windows\system32\svchost.exe"
"svchost","8888","6,42","5","0,125","02.04.2026 11:52:48","C:\Windows\System32\svchost.exe"
"svchost","10424","5,73","3","0,015625","03.04.2026 7:53:20","C:\Windows\System32\svchost.exe"
"svchost","10640","4,42","3","0,0625","02.04.2026 11:37:47","C:\Windows\system32\svchost.exe"
"svchost","11384","3,77","4","0,140625","02.04.2026 11:52:48","C:\Windows\System32\svchost.exe"
"svchost","12120","11,08","9","3,859375","02.04.2026 11:52:48",
"svchost","13216","3,35","3","0,109375","02.04.2026 22:30:52","C:\Windows\system32\svchost.exe"
"Sysmon64","3780","9,44","9","2,609375","02.04.2026 11:22:22",
"System","4","0,02","218","299,71875","02.04.2026 11:22:11",
"SystemSettings","9416","1,62","17","0,546875","02.04.2026 11:30:20","C:\Windows\ImmersiveControlPanel\SystemSettings.exe"
"taskhostw","8164","8,67","8","0,328125","02.04.2026 11:29:58","C:\Windows\system32\taskhostw.exe"
"taskhostw","10740","7,38","2","0,015625","03.04.2026 7:53:23","C:\Windows\system32\taskhostw.exe"
"TextInputHost","5276","19,18","11","5,453125","02.04.2026 11:38:08","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe"
"unsecapp","5524","3,74","2","0,25","02.04.2026 11:22:25","C:\Windows\system32\wbem\unsecapp.exe"
"UserOOBEBroker","6600","2,88","1","0,03125","02.04.2026 11:30:21","C:\Windows\System32\oobe\UserOOBEBroker.exe"
"vapm","5056","34,02","21","18,6875","02.04.2026 11:26:18","C:\Program Files (x86)\Kaspersky Lab\NetworkAgent\vapm.exe"
"wininit","864","1,57","1","0,03125","02.04.2026 11:22:19",
"winlogon","936","5,55","4","0,28125","02.04.2026 11:22:19","C:\Windows\system32\winlogon.exe"
"WINWORD","4060","71,15","10","158,28125","02.04.2026 11:37:35","C:\Program Files (x86)\Microsoft Office\Office15\WINWORD.EXE"
"WINWORD","9732","76,18","23","212,3125","02.04.2026 11:37:32","C:\Program Files (x86)\Microsoft Office\Office15\WINWORD.EXE"
"WmiPrvSE","3612","6,05","3","0,234375","02.04.2026 11:59:55","C:\Windows\sysWOW64\wbem\wmiprvse.exe"
"WmiPrvSE","6244","10,04","5","0,046875","03.04.2026 7:59:34","C:\Windows\system32\wbem\wmiprvse.exe"
"WmiPrvSE","12312","10,95","10","0,015625","03.04.2026 8:04:20","C:\Windows\system32\wbem\wmiprvse.exe"
"WUDFHost","1028","2,84","8","0,046875","02.04.2026 11:22:19","C:\Windows\System32\WUDFHost.exe"
